seed,exp_num,retinal_quadrant,experimenter,animgender,animgender_a,animgender_b,age_week,age_week_a,age_week_b,age_week_diff,field_0_distance_um,field_1_distance_um,field_2_distance_um,field_distance_um_mean,field_distance_um_max,date_a,date_b,train_field_id,test_field_id,num_train,num_test,num_train_fields,num_test_fields,num_train_retinas,num_test_retinas,train_accuracy_cell,test_accuracy_cell,test_accuracy_field,test_accuracy_retina
0,1,any,Cai,any,male,male,,23.0,20.0,3.0,1922.349221655628,585.4558309556751,,1253.9025263056515,1922.349221655628,2023-03-07,2024-05-15,0,1,152,106,2,2,2,2,1.0,0.4716981132075472,0.5,0.5
0,1,any,Cai,any,male,male,,23.0,20.0,3.0,1922.349221655628,585.4558309556751,,1253.9025263056515,1922.349221655628,2023-03-07,2024-05-15,1,0,106,152,2,2,2,2,1.0,0.5526315789473685,0.5,0.5
0,1,any,Cai,any,male,male,,25.0,20.0,5.0,1725.9395267505754,1786.926120464973,,1756.4328236077743,1786.926120464973,2023-03-23,2023-03-28,0,1,154,168,2,2,2,2,1.0,0.5416666666666666,0.5,0.5
0,1,any,Cai,any,male,male,,25.0,20.0,5.0,1725.9395267505754,1786.926120464973,,1756.4328236077743,1786.926120464973,2023-03-23,2023-03-28,1,0,168,154,2,2,2,2,1.0,0.5324675324675324,0.5,0.5
0,1,any,Cai,any,male,female,,25.0,15.0,10.0,1064.8815380125623,1091.287771396711,,1078.0846547046367,1091.287771396711,2023-03-23,2023-08-29,0,1,164,168,2,2,2,2,1.0,0.7559523809523809,1.0,1.0
0,1,any,Cai,any,male,female,,25.0,15.0,10.0,1064.8815380125623,1091.287771396711,,1078.0846547046367,1091.287771396711,2023-03-23,2023-08-29,1,0,168,164,2,2,2,2,1.0,0.823170731707317,1.0,1.0
0,1,any,Cai,any,male,male,,25.0,17.0,8.0,2228.7435114880313,1839.900442958803,,2034.3219772234172,2228.7435114880313,2023-03-23,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.6818181818181818,1.0,1.0
0,1,any,Cai,any,male,male,,25.0,17.0,8.0,2228.7435114880313,1839.900442958803,,2034.3219772234172,2228.7435114880313,2023-03-23,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.5545454545454546,0.5,0.5
0,1,any,Cai,any,male,male,,25.0,22.0,3.0,561.7419336314498,566.178629056237,,563.9602813438435,566.178629056237,2023-03-23,2024-02-20,0,1,160,168,2,2,2,2,1.0,0.5357142857142857,1.0,1.0
0,1,any,Cai,any,male,male,,25.0,22.0,3.0,561.7419336314498,566.178629056237,,563.9602813438435,566.178629056237,2023-03-23,2024-02-20,1,0,168,160,2,2,2,2,1.0,0.5875,0.5,0.5
0,1,any,Cai,any,male,male,,25.0,20.0,5.0,902.2718215704178,1160.7402637972027,,1031.5060426838104,1160.7402637972027,2023-03-23,2024-05-15,0,1,152,156,2,2,2,2,1.0,0.5128205128205128,0.5,0.5
0,1,any,Cai,any,male,male,,25.0,20.0,5.0,902.2718215704178,1160.7402637972027,,1031.5060426838104,1160.7402637972027,2023-03-23,2024-05-15,1,0,156,152,2,2,2,2,1.0,0.6513157894736842,1.0,1.0
0,1,any,Cai,any,male,female,,20.0,15.0,5.0,757.9541147061609,911.2806153979135,,834.6173650520373,911.2806153979135,2023-03-28,2023-08-29,0,1,154,168,2,2,2,2,1.0,0.6964285714285714,1.0,1.0
0,1,any,Cai,any,male,female,,20.0,15.0,5.0,757.9541147061609,911.2806153979135,,834.6173650520373,911.2806153979135,2023-03-28,2023-08-29,1,0,168,154,2,2,2,2,1.0,0.7857142857142857,1.0,1.0
0,1,any,Cai,any,male,male,,20.0,17.0,3.0,819.3032954895274,909.5913148222118,,864.4473051558696,909.5913148222118,2023-03-28,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.42424242424242425,0.5,0.5
0,1,any,Cai,any,male,male,,20.0,17.0,3.0,819.3032954895274,909.5913148222118,,864.4473051558696,909.5913148222118,2023-03-28,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.36363636363636365,0.5,0.5
0,1,any,Cai,any,male,male,,20.0,22.0,2.0,1191.4261412273947,1232.4090879249472,,1211.917614576171,1232.4090879249472,2023-03-28,2024-02-20,0,1,154,168,2,2,2,2,1.0,0.43452380952380953,0.5,0.5
0,1,any,Cai,any,male,male,,20.0,22.0,2.0,1191.4261412273947,1232.4090879249472,,1211.917614576171,1232.4090879249472,2023-03-28,2024-02-20,1,0,168,154,2,2,2,2,1.0,0.4025974025974026,0.5,0.5
0,1,any,Cai,any,male,male,,20.0,20.0,0.0,1207.8065614989844,1023.6840332837082,,1115.7452973913464,1207.8065614989844,2023-03-28,2024-05-15,0,1,152,156,2,2,2,2,1.0,0.5128205128205128,0.5,0.5
0,1,any,Cai,any,male,male,,20.0,20.0,0.0,1207.8065614989844,1023.6840332837082,,1115.7452973913464,1207.8065614989844,2023-03-28,2024-05-15,1,0,156,152,2,2,2,2,1.0,0.5855263157894737,1.0,1.0
0,1,any,Cai,any,female,male,,15.0,17.0,2.0,1482.9090498071687,1475.915797056187,,1479.4124234316778,1482.9090498071687,2023-08-29,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.803030303030303,1.0,1.0
0,1,any,Cai,any,female,male,,15.0,17.0,2.0,1482.9090498071687,1475.915797056187,,1479.4124234316778,1482.9090498071687,2023-08-29,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.6818181818181818,0.5,0.5
0,1,any,Cai,any,female,male,,15.0,22.0,7.0,647.0521540030602,562.2526478372512,,604.6524009201557,647.0521540030602,2023-08-29,2024-02-20,0,1,160,188,2,2,2,2,1.0,0.8297872340425532,1.0,1.0
0,1,any,Cai,any,female,male,,15.0,22.0,7.0,647.0521540030602,562.2526478372512,,604.6524009201557,647.0521540030602,2023-08-29,2024-02-20,1,0,188,160,2,2,2,2,1.0,0.825,1.0,1.0
0,1,any,Cai,any,female,male,,15.0,20.0,5.0,465.91549663002183,177.4974929400414,,321.7064947850316,465.91549663002183,2023-08-29,2024-05-15,0,1,152,156,2,2,2,2,1.0,0.6923076923076923,1.0,1.0
0,1,any,Cai,any,female,male,,15.0,20.0,5.0,465.91549663002183,177.4974929400414,,321.7064947850316,465.91549663002183,2023-08-29,2024-05-15,1,0,156,152,2,2,2,2,1.0,0.5986842105263158,0.5,0.5
0,1,any,Cai,any,male,male,,17.0,22.0,5.0,1669.0231993594336,1441.749284723249,,1555.3862420413413,1669.0231993594336,2023-09-05,2024-02-20,0,1,110,66,2,2,2,2,1.0,0.5303030303030303,1.0,1.0
0,1,any,Cai,any,male,male,,17.0,22.0,5.0,1669.0231993594336,1441.749284723249,,1555.3862420413413,1669.0231993594336,2023-09-05,2024-02-20,1,0,66,110,2,2,2,2,1.0,0.6090909090909091,0.5,0.5
0,1,any,Cai,any,male,male,,17.0,20.0,3.0,1948.6867372669215,1644.6736332780436,,1796.6801852724825,1948.6867372669215,2023-09-05,2024-05-15,0,1,110,66,2,2,2,2,1.0,0.5606060606060606,0.5,0.5
0,1,any,Cai,any,male,male,,17.0,20.0,3.0,1948.6867372669215,1644.6736332780436,,1796.6801852724825,1948.6867372669215,2023-09-05,2024-05-15,1,0,66,110,2,2,2,2,1.0,0.4,0.5,0.5
0,1,any,Cai,any,male,male,,22.0,20.0,2.0,752.5046445039393,676.828752344343,,714.6666984241411,752.5046445039393,2024-02-20,2024-05-15,0,1,152,156,2,2,2,2,1.0,0.5128205128205128,0.5,0.5
0,1,any,Cai,any,male,male,,22.0,20.0,2.0,752.5046445039393,676.828752344343,,714.6666984241411,752.5046445039393,2024-02-20,2024-05-15,1,0,156,152,2,2,2,2,1.0,0.4342105263157895,0.5,0.5
0,1,any,Debinski,any,female,male,,19.0,22.0,3.0,,,,,,2022-12-01,2023-10-12,0,1,122,68,2,2,2,2,1.0,0.5882352941176471,0.5,0.5
0,1,any,Debinski,any,female,male,,19.0,22.0,3.0,,,,,,2022-12-01,2023-10-12,1,0,68,122,2,2,2,2,1.0,0.6229508196721312,1.0,1.0
0,1,any,Debinski,any,female,male,,19.0,22.0,3.0,,,,,,2022-12-01,2023-10-13,0,1,104,68,2,2,2,2,1.0,0.6029411764705882,1.0,1.0
0,1,any,Debinski,any,female,male,,19.0,22.0,3.0,,,,,,2022-12-01,2023-10-13,1,0,68,104,2,2,2,2,1.0,0.7019230769230769,1.0,1.0
0,1,any,Debinski,any,female,male,,19.0,21.0,2.0,,,,,,2022-12-01,2023-10-18,0,1,76,68,2,2,2,2,1.0,0.47058823529411764,0.5,0.5
0,1,any,Debinski,any,female,male,,19.0,21.0,2.0,,,,,,2022-12-01,2023-10-18,1,0,68,76,2,2,2,2,1.0,0.5789473684210527,0.5,0.5
0,1,any,Debinski,any,female,female,,19.0,9.0,10.0,,,,,,2022-12-01,2023-10-20,0,1,108,68,2,2,2,2,1.0,0.6176470588235294,1.0,1.0
